[DEBUG] 2020-04-12 00:12:18.767 [main] IntegratorServiceImpl - Adding Integrator [org.hibernate.cfg.beanvalidation.BeanValidationIntegrator].
[DEBUG] 2020-04-12 00:12:18.839 [main] IntegratorServiceImpl - Adding Integrator [org.hibernate.secure.spi.JaccIntegrator].
[DEBUG] 2020-04-12 00:12:18.886 [main] IntegratorServiceImpl - Adding Integrator [org.hibernate.cache.internal.CollectionCacheInvalidator].
[INFO ] 2020-04-12 00:12:19.529 [main] Version - HHH000412: Hibernate Core {5.4.4.Final}
[DEBUG] 2020-04-12 00:12:19.559 [main] Environment - HHH000206: hibernate.properties not found
[DEBUG] 2020-04-12 00:12:21.329 [main] LocalXmlResourceResolver - Interpreting public/system identifier : [-//Hibernate/Hibernate Configuration DTD//EN] - [http://www.hibernate.org/dtd/hibernate-configuration-3.0.dtd]
[DEBUG] 2020-04-12 00:12:21.350 [main] LocalXmlResourceResolver - Recognized hibernate-configuration identifier; attempting to resolve on classpath under org/hibernate/
[DEBUG] 2020-04-12 00:12:21.418 [main] JaxbCfgProcessor - cfg.xml document did not define namespaces; wrapping in custom event reader to introduce namespace information
[DEBUG] 2020-04-12 00:12:23.908 [main] ServiceBinding - Overriding existing service binding [org.hibernate.secure.spi.JaccService]
[DEBUG] 2020-04-12 00:12:24.053 [main] RegionFactoryInitiator - Cannot default RegionFactory based on registered strategies as `[]` RegionFactory strategies were registered
[DEBUG] 2020-04-12 00:12:24.057 [main] RegionFactoryInitiator - Cache region factory : org.hibernate.cache.internal.NoCachingRegionFactory
[INFO ] 2020-04-12 00:12:24.259 [main] Version - HCANN000001: Hibernate Commons Annotations {5.1.0.Final}
[DEBUG] 2020-04-12 00:12:24.541 [main] BasicTypeRegistry - Adding type registration boolean -> org.hibernate.type.BooleanType@70325d20
[DEBUG] 2020-04-12 00:12:24.546 [main] BasicTypeRegistry - Adding type registration boolean -> org.hibernate.type.BooleanType@70325d20
[DEBUG] 2020-04-12 00:12:24.547 [main] BasicTypeRegistry - Adding type registration java.lang.Boolean -> org.hibernate.type.BooleanType@70325d20
[DEBUG] 2020-04-12 00:12:24.554 [main] BasicTypeRegistry - Adding type registration numeric_boolean -> org.hibernate.type.NumericBooleanType@3d7fa3ae
[DEBUG] 2020-04-12 00:12:24.558 [main] BasicTypeRegistry - Adding type registration true_false -> org.hibernate.type.TrueFalseType@187eb9a8
[DEBUG] 2020-04-12 00:12:24.564 [main] BasicTypeRegistry - Adding type registration yes_no -> org.hibernate.type.YesNoType@3ff57625
[DEBUG] 2020-04-12 00:12:24.565 [main] BasicTypeRegistry - Adding type registration byte -> org.hibernate.type.ByteType@18fdb6cf
[DEBUG] 2020-04-12 00:12:24.566 [main] BasicTypeRegistry - Adding type registration byte -> org.hibernate.type.ByteType@18fdb6cf
[DEBUG] 2020-04-12 00:12:24.571 [main] BasicTypeRegistry - Adding type registration java.lang.Byte -> org.hibernate.type.ByteType@18fdb6cf
[DEBUG] 2020-04-12 00:12:24.577 [main] BasicTypeRegistry - Adding type registration character -> org.hibernate.type.CharacterType@6ad5923a
[DEBUG] 2020-04-12 00:12:24.583 [main] BasicTypeRegistry - Adding type registration char -> org.hibernate.type.CharacterType@6ad5923a
[DEBUG] 2020-04-12 00:12:24.583 [main] BasicTypeRegistry - Adding type registration java.lang.Character -> org.hibernate.type.CharacterType@6ad5923a
[DEBUG] 2020-04-12 00:12:24.586 [main] BasicTypeRegistry - Adding type registration short -> org.hibernate.type.ShortType@6f6962ba
[DEBUG] 2020-04-12 00:12:24.590 [main] BasicTypeRegistry - Adding type registration short -> org.hibernate.type.ShortType@6f6962ba
